"","code","game_type","rival","pay_competitive","n"
"127","sujeto_0014895","competitive","2","3",8
"128","sujeto_0014895","competitive","2","4",8
"129","sujeto_0014895","competitive","3","2",6
"130","sujeto_0014895","competitive","3","3",7
"131","sujeto_0014895","competitive","3","4",8
"132","sujeto_0014895","competitive","4","1",1
"133","sujeto_0014895","competitive","4","2",6
"134","sujeto_0014895","competitive","4","3",7
"135","sujeto_0014895","competitive","4","4",8
"136","sujeto_0014895","individual","1","1",8
"137","sujeto_0014895","individual","2","1",8
"138","sujeto_0014895","individual","3","1",8
"139","sujeto_0014895","individual","3","2",2
"140","sujeto_0014895","individual","3","3",1
"141","sujeto_0014895","individual","4","1",7
"142","sujeto_0014895","individual","4","2",2
"143","sujeto_0014895","individual","4","3",1
"144","sujeto_0016883","competitive","1","1",5
"145","sujeto_0016883","competitive","1","2",8
"146","sujeto_0016883","competitive","1","3",8
"147","sujeto_0016883","competitive","1","4",8
"148","sujeto_0016883","competitive","2","1",7
"149","sujeto_0016883","competitive","2","2",8
"150","sujeto_0016883","competitive","2","3",8
"151","sujeto_0016883","competitive","2","4",8
"152","sujeto_0016883","competitive","3","1",8
"153","sujeto_0016883","competitive","3","2",8
"154","sujeto_0016883","competitive","3","3",8
"155","sujeto_0016883","competitive","3","4",8
"156","sujeto_0016883","competitive","4","1",8
"157","sujeto_0016883","competitive","4","2",8
"158","sujeto_0016883","competitive","4","3",8
"159","sujeto_0016883","competitive","4","4",8
"160","sujeto_0016883","individual","1","1",3
"161","sujeto_0016883","individual","2","1",1
"162","sujeto_0020285","competitive","1","1",5
"163","sujeto_0020285","competitive","1","2",7
"164","sujeto_0020285","competitive","1","3",8
"165","sujeto_0020285","competitive","1","4",8
"166","sujeto_0020285","competitive","2","1",2
"167","sujeto_0020285","competitive","2","2",6
"168","sujeto_0020285","competitive","2","3",8
"169","sujeto_0020285","competitive","2","4",8
"170","sujeto_0020285","competitive","3","1",1
"171","sujeto_0020285","competitive","3","2",4
"172","sujeto_0020285","competitive","3","3",6
"173","sujeto_0020285","competitive","3","4",7
"174","sujeto_0020285","competitive","4","1",1
"175","sujeto_0020285","competitive","4","2",1
"176","sujeto_0020285","competitive","4","3",6
"177","sujeto_0020285","competitive","4","4",8
"178","sujeto_0020285","individual","1","1",3
"179","sujeto_0020285","individual","1","2",1
"180","sujeto_0020285","individual","2","1",6
"181","sujeto_0020285","individual","2","2",2
"182","sujeto_0020285","individual","3","1",7
"183","sujeto_0020285","individual","3","2",3
"184","sujeto_0020285","individual","3","3",2
"185","sujeto_0020285","individual","3","4",1
"186","sujeto_0020285","individual","4","1",7
"187","sujeto_0020285","individual","4","2",7
"188","sujeto_0020285","individual","4","3",2
"189","sujeto_0020703","competitive","1","1",2
"190","sujeto_0020703","competitive","1","2",8
"191","sujeto_0020703","competitive","1","3",8
"192","sujeto_0020703","competitive","1","4",8
"193","sujeto_0020703","competitive","2","1",2
"194","sujeto_0020703","competitive","2","2",8
"195","sujeto_0020703","competitive","2","3",8
"196","sujeto_0020703","competitive","2","4",8
"197","sujeto_0020703","competitive","3","1",4
"198","sujeto_0020703","competitive","3","2",7
"199","sujeto_0020703","competitive","3","3",8
"200","sujeto_0020703","competitive","3","4",8
"201","sujeto_0020703","competitive","4","1",2
"202","sujeto_0020703","competitive","4","2",8
"203","sujeto_0020703","competitive","4","3",8
"204","sujeto_0020703","competitive","4","4",8
"205","sujeto_0020703","individual","1","1",6
"206","sujeto_0020703","individual","2","1",6
"207","sujeto_0020703","individual","3","1",4
"208","sujeto_0020703","individual","3","2",1
"209","sujeto_0020703","individual","4","1",6
"210","sujeto_0020974","competitive","1","1",8
"211","sujeto_0020974","competitive","1","2",8
"212","sujeto_0020974","competitive","1","3",8
"213","sujeto_0020974","competitive","1","4",8
"214","sujeto_0020974","competitive","2","1",8
"215","sujeto_0020974","competitive","2","2",8
"216","sujeto_0020974","competitive","2","3",8
"217","sujeto_0020974","competitive","2","4",8
"218","sujeto_0020974","competitive","3","1",8
"219","sujeto_0020974","competitive","3","2",8
"220","sujeto_0020974","competitive","3","3",8
"221","sujeto_0020974","competitive","3","4",8
"222","sujeto_0020974","competitive","4","1",8
"223","sujeto_0020974","competitive","4","2",7
"224","sujeto_0020974","competitive","4","3",8
"225","sujeto_0020974","competitive","4","4",8
"226","sujeto_0020974","individual","4","2",1
"227","sujeto_0025043","competitive","1","1",8
"228","sujeto_0025043","competitive","1","2",7
"229","sujeto_0025043","competitive","1","3",8
"230","sujeto_0025043","competitive","1","4",8
"231","sujeto_0025043","competitive","2","1",6
"232","sujeto_0025043","competitive","2","2",8
"233","sujeto_0025043","competitive","2","3",8
"234","sujeto_0025043","competitive","2","4",7
"235","sujeto_0025043","competitive","3","1",2
"236","sujeto_0025043","competitive","3","2",1
"237","sujeto_0025043","competitive","3","3",5
"238","sujeto_0025043","competitive","3","4",8
"239","sujeto_0025043","competitive","4","1",1
"240","sujeto_0025043","competitive","4","3",2
"241","sujeto_0025043","competitive","4","4",7
"242","sujeto_0025043","individual","1","2",1
"243","sujeto_0025043","individual","2","1",2
"244","sujeto_0025043","individual","2","4",1
"245","sujeto_0025043","individual","3","1",6
"246","sujeto_0025043","individual","3","2",7
"247","sujeto_0025043","individual","3","3",3
"248","sujeto_0025043","individual","4","1",7
"249","sujeto_0025043","individual","4","2",8
"250","sujeto_0025043","individual","4","3",6
"251","sujeto_0025043","individual","4","4",1
"252","sujeto_0025948","competitive","1","1",4
"253","sujeto_0025948","competitive","1","2",5
"254","sujeto_0025948","competitive","1","3",8
"255","sujeto_0025948","competitive","1","4",7
"256","sujeto_0025948","competitive","2","1",3
"257","sujeto_0025948","competitive","2","2",5
"258","sujeto_0025948","competitive","2","3",6
"259","sujeto_0025948","competitive","2","4",6
"260","sujeto_0025948","competitive","3","1",2
"261","sujeto_0025948","competitive","3","2",3
"262","sujeto_0025948","competitive","3","3",4
"263","sujeto_0025948","competitive","3","4",6
"264","sujeto_0025948","competitive","4","1",1
"265","sujeto_0025948","competitive","4","2",3
"266","sujeto_0025948","competitive","4","3",1
"267","sujeto_0025948","competitive","4","4",3
"268","sujeto_0025948","individual","1","1",4
"269","sujeto_0025948","individual","1","2",3
"270","sujeto_0025948","individual","1","4",1
"271","sujeto_0025948","individual","2","1",5
"272","sujeto_0025948","individual","2","2",3
"273","sujeto_0025948","individual","2","3",2
"274","sujeto_0025948","individual","2","4",2
"275","sujeto_0025948","individual","3","1",6
"276","sujeto_0025948","individual","3","2",5
"277","sujeto_0025948","individual","3","3",4
"278","sujeto_0025948","individual","3","4",2
"279","sujeto_0025948","individual","4","1",7
"280","sujeto_0025948","individual","4","2",5
"281","sujeto_0025948","individual","4","3",7
"282","sujeto_0025948","individual","4","4",5
"283","sujeto_0026622","competitive","1","1",4
"284","sujeto_0026622","competitive","1","2",8
"285","sujeto_0026622","competitive","1","3",8
"286","sujeto_0026622","competitive","1","4",7
"287","sujeto_0026622","competitive","2","1",6
"288","sujeto_0026622","competitive","2","2",8
"289","sujeto_0026622","competitive","2","3",8
"290","sujeto_0026622","competitive","2","4",8
"291","sujeto_0026622","competitive","3","1",6
"292","sujeto_0026622","competitive","3","2",6
"293","sujeto_0026622","competitive","3","3",8
"294","sujeto_0026622","competitive","3","4",7
"295","sujeto_0026622","competitive","4","1",3
"296","sujeto_0026622","competitive","4","2",7
"297","sujeto_0026622","competitive","4","3",5
"298","sujeto_0026622","competitive","4","4",7
"299","sujeto_0026622","individual","1","1",4
"300","sujeto_0026622","individual","1","4",1
"301","sujeto_0026622","individual","2","1",2
"302","sujeto_0026622","individual","3","1",2
"303","sujeto_0026622","individual","3","2",2
"304","sujeto_0026622","individual","3","4",1
"305","sujeto_0026622","individual","4","1",5
"306","sujeto_0026622","individual","4","2",1
"307","sujeto_0026622","individual","4","3",3
"308","sujeto_0026622","individual","4","4",1
"309","sujeto_0027033","competitive","1","1",8
"310","sujeto_0027033","competitive","1","2",8
"311","sujeto_0027033","competitive","1","3",8
"312","sujeto_0027033","competitive","1","4",8
"313","sujeto_0027033","competitive","2","1",8
"314","sujeto_0027033","competitive","2","2",8
"315","sujeto_0027033","competitive","2","3",8
"316","sujeto_0027033","competitive","2","4",8
"317","sujeto_0027033","competitive","3","1",8
"318","sujeto_0027033","competitive","3","2",8
"319","sujeto_0027033","competitive","3","3",8
"320","sujeto_0027033","competitive","3","4",8
"321","sujeto_0027033","competitive","4","1",8
"322","sujeto_0027033","competitive","4","2",8
"323","sujeto_0027033","competitive","4","3",8
"324","sujeto_0027033","competitive","4","4",8
"325","sujeto_0027042","competitive","1","1",7
"326","sujeto_0027042","competitive","1","2",8
"327","sujeto_0027042","competitive","1","3",8
"328","sujeto_0027042","competitive","1","4",7
"329","sujeto_0027042","competitive","2","1",8
"330","sujeto_0027042","competitive","2","2",8
"331","sujeto_0027042","competitive","2","3",8
"332","sujeto_0027042","competitive","2","4",7
"333","sujeto_0027042","competitive","3","1",6
"334","sujeto_0027042","competitive","3","2",6
"335","sujeto_0027042","competitive","3","3",7
"336","sujeto_0027042","competitive","3","4",7
"337","sujeto_0027042","competitive","4","1",2
"338","sujeto_0027042","competitive","4","2",4
"339","sujeto_0027042","competitive","4","3",5
"340","sujeto_0027042","competitive","4","4",7
"341","sujeto_0027042","individual","1","4",1
"342","sujeto_0027042","individual","2","4",1
"343","sujeto_0027042","individual","3","1",2
"344","sujeto_0027042","individual","3","2",2
"345","sujeto_0027042","individual","3","3",1
"346","sujeto_0027042","individual","3","4",1
"347","sujeto_0027042","individual","4","1",6
"348","sujeto_0027042","individual","4","2",4
"349","sujeto_0027042","individual","4","3",3
"350","sujeto_0027042","individual","4","4",1
"351","sujeto_0027510","competitive","1","1",8
"352","sujeto_0027510","competitive","1","2",8
"353","sujeto_0027510","competitive","1","3",8
"354","sujeto_0027510","competitive","1","4",8
"355","sujeto_0027510","competitive","2","1",7
"356","sujeto_0027510","competitive","2","2",8
"357","sujeto_0027510","competitive","2","3",8
"358","sujeto_0027510","competitive","2","4",8
"359","sujeto_0027510","competitive","3","1",2
"360","sujeto_0027510","competitive","3","2",5
"361","sujeto_0027510","competitive","3","3",6
"362","sujeto_0027510","competitive","3","4",8
"363","sujeto_0027510","competitive","4","1",3
"364","sujeto_0027510","competitive","4","2",2
"365","sujeto_0027510","competitive","4","3",5
"366","sujeto_0027510","competitive","4","4",4
"367","sujeto_0027510","individual","2","1",1
"368","sujeto_0027510","individual","3","1",6
"369","sujeto_0027510","individual","3","2",3
"370","sujeto_0027510","individual","3","3",2
"371","sujeto_0027510","individual","4","1",5
"372","sujeto_0027510","individual","4","2",6
"373","sujeto_0027510","individual","4","3",3
"374","sujeto_0027510","individual","4","4",4
"375","sujeto_0028207","competitive","1","1",7
"376","sujeto_0028207","competitive","1","2",8
"377","sujeto_0028207","competitive","1","3",6
"378","sujeto_0028207","competitive","1","4",8
"379","sujeto_0028207","competitive","2","1",6
"380","sujeto_0028207","competitive","2","2",8
"381","sujeto_0028207","competitive","2","3",8
"382","sujeto_0028207","competitive","2","4",8
"383","sujeto_0028207","competitive","3","1",6
"384","sujeto_0028207","competitive","3","2",5
"385","sujeto_0028207","competitive","3","3",7
"386","sujeto_0028207","competitive","3","4",6
"387","sujeto_0028207","competitive","4","1",4
"388","sujeto_0028207","competitive","4","2",6
"389","sujeto_0028207","competitive","4","3",4
"390","sujeto_0028207","competitive","4","4",7
"391","sujeto_0028207","individual","1","1",1
"392","sujeto_0028207","individual","1","3",2
"393","sujeto_0028207","individual","2","1",2
"394","sujeto_0028207","individual","3","1",2
"395","sujeto_0028207","individual","3","2",3
"396","sujeto_0028207","individual","3","3",1
"397","sujeto_0028207","individual","3","4",2
"398","sujeto_0028207","individual","4","1",4
"399","sujeto_0028207","individual","4","2",2
"400","sujeto_0028207","individual","4","3",4
"401","sujeto_0030383","competitive","1","1",6
"402","sujeto_0030383","competitive","1","2",5
"403","sujeto_0030383","competitive","1","3",5
"404","sujeto_0030383","competitive","1","4",5
"405","sujeto_0030383","competitive","2","1",8
"406","sujeto_0030383","competitive","2","2",8
"407","sujeto_0030383","competitive","2","3",8
"408","sujeto_0030383","competitive","2","4",8
"409","sujeto_0030383","competitive","3","1",8
"410","sujeto_0030383","competitive","3","2",8
"411","sujeto_0030383","competitive","3","3",8
"412","sujeto_0030383","competitive","3","4",8
"413","sujeto_0030383","competitive","4","1",7
"414","sujeto_0030383","competitive","4","2",8
"415","sujeto_0030383","competitive","4","3",8
"416","sujeto_0030383","competitive","4","4",8
"417","sujeto_0030383","individual","1","1",2
"418","sujeto_0030383","individual","1","2",3
"419","sujeto_0030383","individual","1","3",3
"420","sujeto_0030383","individual","1","4",3
"421","sujeto_0030383","individual","4","1",1
"422","sujeto_0030459","competitive","1","1",8
"423","sujeto_0030459","competitive","1","2",8
"424","sujeto_0030459","competitive","1","3",8
"425","sujeto_0030459","competitive","1","4",8
"426","sujeto_0030459","competitive","2","1",8
"427","sujeto_0030459","competitive","2","2",8
"428","sujeto_0030459","competitive","2","3",8
"429","sujeto_0030459","competitive","2","4",8
"430","sujeto_0030459","competitive","3","1",7
"431","sujeto_0030459","competitive","3","2",8
"432","sujeto_0030459","competitive","3","3",8
"433","sujeto_0030459","competitive","3","4",8
"434","sujeto_0030459","competitive","4","1",8
"435","sujeto_0030459","competitive","4","2",8
"436","sujeto_0030459","competitive","4","3",8
"437","sujeto_0030459","competitive","4","4",8
"438","sujeto_0030459","individual","3","1",1
"439","sujeto_0031826","competitive","1","1",3
"440","sujeto_0031826","competitive","1","2",3
"441","sujeto_0031826","competitive","1","3",7
"442","sujeto_0031826","competitive","1","4",8
"443","sujeto_0031826","competitive","2","2",4
"444","sujeto_0031826","competitive","2","3",6
"445","sujeto_0031826","competitive","2","4",7
"446","sujeto_0031826","competitive","3","1",1
"447","sujeto_0031826","competitive","3","2",5
"448","sujeto_0031826","competitive","3","3",6
"449","sujeto_0031826","competitive","3","4",7
"450","sujeto_0031826","competitive","4","2",4
"451","sujeto_0031826","competitive","4","3",5
"452","sujeto_0031826","competitive","4","4",6
"453","sujeto_0031826","individual","1","1",5
"454","sujeto_0031826","individual","1","2",5
"455","sujeto_0031826","individual","1","3",1
"456","sujeto_0031826","individual","2","1",8
"457","sujeto_0031826","individual","2","2",4
"458","sujeto_0031826","individual","2","3",2
"459","sujeto_0031826","individual","2","4",1
"460","sujeto_0031826","individual","3","1",7
"461","sujeto_0031826","individual","3","2",3
"462","sujeto_0031826","individual","3","3",2
"463","sujeto_0031826","individual","3","4",1
"464","sujeto_0031826","individual","4","1",8
"465","sujeto_0031826","individual","4","2",4
"466","sujeto_0031826","individual","4","3",3
"467","sujeto_0031826","individual","4","4",2
"468","sujeto_0032413","competitive","1","1",6
"469","sujeto_0032413","competitive","1","2",8
"470","sujeto_0032413","competitive","1","3",7
"471","sujeto_0032413","competitive","1","4",7
"472","sujeto_0032413","competitive","2","1",2
"473","sujeto_0032413","competitive","2","2",8
"474","sujeto_0032413","competitive","2","3",6
"475","sujeto_0032413","competitive","2","4",7
"476","sujeto_0032413","competitive","3","1",1
"477","sujeto_0032413","competitive","3","2",3
"478","sujeto_0032413","competitive","3","3",7
"479","sujeto_0032413","competitive","3","4",8
"480","sujeto_0032413","competitive","4","2",1
"481","sujeto_0032413","competitive","4","3",3
"482","sujeto_0032413","competitive","4","4",6
"483","sujeto_0032413","individual","1","1",2
"484","sujeto_0032413","individual","1","3",1
"485","sujeto_0032413","individual","1","4",1
"486","sujeto_0032413","individual","2","1",6
"487","sujeto_0032413","individual","2","3",2
"488","sujeto_0032413","individual","2","4",1
"489","sujeto_0032413","individual","3","1",7
"490","sujeto_0032413","individual","3","2",3
"491","sujeto_0032413","individual","3","3",1
"492","sujeto_0032413","individual","4","1",8
"493","sujeto_0032413","individual","4","2",7
"494","sujeto_0032413","individual","4","3",5
"495","sujeto_0032413","individual","4","4",2
"496","sujeto_0033050","competitive","1","1",5
"497","sujeto_0033050","competitive","1","2",8
"498","sujeto_0033050","competitive","1","3",8
"499","sujeto_0033050","competitive","1","4",8
"500","sujeto_0033050","competitive","2","1",4
"501","sujeto_0033050","competitive","2","2",8
"502","sujeto_0033050","competitive","2","3",8
"503","sujeto_0033050","competitive","2","4",8
"504","sujeto_0033050","competitive","3","1",4
"505","sujeto_0033050","competitive","3","2",8
"506","sujeto_0033050","competitive","3","3",8
"507","sujeto_0033050","competitive","3","4",8
"508","sujeto_0033050","competitive","4","1",1
"509","sujeto_0033050","competitive","4","2",8
"510","sujeto_0033050","competitive","4","3",8
"511","sujeto_0033050","competitive","4","4",8
"512","sujeto_0033050","individual","1","1",3
"513","sujeto_0033050","individual","2","1",4
"514","sujeto_0033050","individual","3","1",3
"515","sujeto_0033050","individual","4","1",7
"516","sujeto_0034539","competitive","1","1",7
"517","sujeto_0034539","competitive","1","2",8
"518","sujeto_0034539","competitive","1","3",7
"519","sujeto_0034539","competitive","1","4",7
"520","sujeto_0034539","competitive","2","1",7
"521","sujeto_0034539","competitive","2","2",8
"522","sujeto_0034539","competitive","2","3",7
"523","sujeto_0034539","competitive","2","4",7
"524","sujeto_0034539","competitive","3","1",6
"525","sujeto_0034539","competitive","3","2",8
"526","sujeto_0034539","competitive","3","3",7
"527","sujeto_0034539","competitive","3","4",8
"528","sujeto_0034539","competitive","4","1",6
"529","sujeto_0034539","competitive","4","2",4
"530","sujeto_0034539","competitive","4","3",7
"531","sujeto_0034539","competitive","4","4",4
"532","sujeto_0034539","individual","1","1",1
"533","sujeto_0034539","individual","1","3",1
"534","sujeto_0034539","individual","1","4",1
"535","sujeto_0034539","individual","2","1",1
"536","sujeto_0034539","individual","2","3",1
"537","sujeto_0034539","individual","2","4",1
"538","sujeto_0034539","individual","3","1",2
"539","sujeto_0034539","individual","3","3",1
"540","sujeto_0034539","individual","4","1",2
"541","sujeto_0034539","individual","4","2",4
"542","sujeto_0034539","individual","4","3",1
"543","sujeto_0034539","individual","4","4",4
"544","sujeto_0036567","competitive","1","1",4
"545","sujeto_0036567","competitive","1","2",8
"546","sujeto_0036567","competitive","1","3",7
"547","sujeto_0036567","competitive","1","4",8
"548","sujeto_0036567","competitive","2","1",4
"549","sujeto_0036567","competitive","2","2",8
"550","sujeto_0036567","competitive","2","3",8
"551","sujeto_0036567","competitive","2","4",8
"552","sujeto_0036567","competitive","3","1",4
"553","sujeto_0036567","competitive","3","2",8
"554","sujeto_0036567","competitive","3","3",8
"555","sujeto_0036567","competitive","3","4",7
"556","sujeto_0036567","competitive","4","1",4
"557","sujeto_0036567","competitive","4","2",8
"558","sujeto_0036567","competitive","4","3",8
"559","sujeto_0036567","competitive","4","4",8
"560","sujeto_0036567","individual","1","1",3
"561","sujeto_0036567","individual","2","1",3
"562","sujeto_0036567","individual","3","1",4
"563","sujeto_0036567","individual","3","4",1
"564","sujeto_0036567","individual","4","1",4
"565","sujeto_0039609","competitive","1","1",1
"566","sujeto_0039609","competitive","1","2",7
"567","sujeto_0039609","competitive","1","3",8
"568","sujeto_0039609","competitive","1","4",3
"569","sujeto_0039609","competitive","2","1",1
"570","sujeto_0039609","competitive","2","2",7
"571","sujeto_0039609","competitive","2","3",8
"572","sujeto_0039609","competitive","2","4",7
"573","sujeto_0039609","competitive","3","2",8
"574","sujeto_0039609","competitive","3","3",8
"575","sujeto_0039609","competitive","3","4",4
"576","sujeto_0039609","competitive","4","2",6
"577","sujeto_0039609","competitive","4","3",8
"578","sujeto_0039609","competitive","4","4",3
"579","sujeto_0039609","individual","1","1",7
"580","sujeto_0039609","individual","1","2",1
"581","sujeto_0039609","individual","1","4",5
"582","sujeto_0039609","individual","2","1",7
"583","sujeto_0039609","individual","2","2",1
"584","sujeto_0039609","individual","2","4",1
"585","sujeto_0039609","individual","3","1",8
"586","sujeto_0039609","individual","3","4",4
"587","sujeto_0039609","individual","4","1",8
"588","sujeto_0039609","individual","4","2",2
"589","sujeto_0039609","individual","4","4",5
"590","sujeto_0040017","competitive","1","1",7
"591","sujeto_0040017","competitive","1","2",7
"592","sujeto_0040017","competitive","1","3",6
"593","sujeto_0040017","competitive","1","4",7
"594","sujeto_0040017","competitive","2","1",7
"595","sujeto_0040017","competitive","2","2",8
"596","sujeto_0040017","competitive","2","3",8
"597","sujeto_0040017","competitive","2","4",7
"598","sujeto_0040017","competitive","3","1",5
"599","sujeto_0040017","competitive","3","2",6
"600","sujeto_0040017","competitive","3","3",7
"601","sujeto_0040017","competitive","3","4",8
"602","sujeto_0040017","competitive","4","1",8
"603","sujeto_0040017","competitive","4","2",8
"604","sujeto_0040017","competitive","4","3",6
"605","sujeto_0040017","competitive","4","4",6
"606","sujeto_0040017","individual","1","1",1
"607","sujeto_0040017","individual","1","2",1
"608","sujeto_0040017","individual","1","3",2
"609","sujeto_0040017","individual","1","4",1
"610","sujeto_0040017","individual","2","1",1
"611","sujeto_0040017","individual","2","4",1
"612","sujeto_0040017","individual","3","1",3
"613","sujeto_0040017","individual","3","2",2
"614","sujeto_0040017","individual","3","3",1
"615","sujeto_0040017","individual","4","3",2
"616","sujeto_0040017","individual","4","4",2
"617","sujeto_0040081","competitive","1","1",8
"618","sujeto_0040081","competitive","1","2",8
"619","sujeto_0040081","competitive","1","3",8
"620","sujeto_0040081","competitive","1","4",8
"621","sujeto_0040081","competitive","2","1",8
"622","sujeto_0040081","competitive","2","2",8
"623","sujeto_0040081","competitive","2","3",8
"624","sujeto_0040081","competitive","2","4",8
"625","sujeto_0040081","competitive","3","1",8
"626","sujeto_0040081","competitive","3","2",8
"627","sujeto_0040081","competitive","3","3",8
"628","sujeto_0040081","competitive","3","4",8
"629","sujeto_0040081","competitive","4","1",8
"630","sujeto_0040081","competitive","4","2",8
"631","sujeto_0040081","competitive","4","3",8
"632","sujeto_0040081","competitive","4","4",8
"633","sujeto_0048205","competitive","1","1",1
"634","sujeto_0048205","competitive","1","2",8
"635","sujeto_0048205","competitive","1","3",8
"636","sujeto_0048205","competitive","1","4",8
"637","sujeto_0048205","competitive","2","1",1
"638","sujeto_0048205","competitive","2","2",8
"639","sujeto_0048205","competitive","2","3",8
"640","sujeto_0048205","competitive","2","4",8
"641","sujeto_0048205","competitive","3","1",1
"642","sujeto_0048205","competitive","3","2",8
"643","sujeto_0048205","competitive","3","3",8
